,Allyn et al. 2020,Nye et al. 2009,Growth data
Acadian redfish,x,x,
American plaice,x,x,x
Atlantic cod,x,x,x
Atlantic hagfish,x,,
Atlantic halibut,x,x,
Atlantic wolffish,x,x,
Cusk,x,x,
Haddock,x,x,x
Ocean pout,x,x,
Offshore hake,x,,
Pollock,x,x,x
Red hake,x,x,x
Silver hake,x,x,x
Spotted hake,,x,
Goosefish,,x,
Fourspot flounder,,x,
Windowpane,,x,
Blackbelly rosefish,,x,
Longhorn sculpin,,x,
Sea raven,,x,
Tilefish,x,,
White hake,x,x,x
Witch flounder,x,,x
Yellowtail flounder,x,x,x
Atlantic herring,x,x,x
Atlantic mackerel,,x,
Butterfish,,,x
Bluefish,x,,
Longfin squid,x,,
Northern sand lance,x,,
Northern shortfin squid,x,,
Atlantic croaker,x,,
Atlantic menhaden,x,,
Black sea bass,x,,x
Northern kingfish,x,,
Scup,x,,x
Spot,x,,
Striped bass,x,,
Summer flounder,x,x,x
Tautog,x,,
Weakfish,x,,
Winter flounder,x,x,x
American lobster,x,,
Atlantic rock crab,x,,
Horseshoe crab,x,,
Red deepsea crab,x,,
Sea scallop,x,,
Alewife,x,x,
American shad,x,x,
Barndoor skate,x,,
Clearnose skate,x,,
Little skate,x,x,
Rosette skate,x,,
Smooth dogfish,x,,
Smooth skate,x,,
Spiny dogfish,x,x,
Thorny skate,x,x,
Winter skate,x,x,